Restaurant,Delivery,Vegan,Number,Location,Instagram,Website,lon,lat
Watts Coffee House,Yes,No,323-249-4343,"1827 E 103rd St, 90002",https://www.instagram.com/wattscoffeehouse,https://www.facebook.com/whereweprepareourfoodwithLOVE/,-118.2398131,33.9433803
Cliff's Texas Style Burritos,Yes,No,310-609-2755,"408 W. Alondra Blvd, 90220",https://www.instagram.com/srcliffsburritos,http://www.cliffsburritos.com/,-118.2284716,33.8883613
Happy Ice,No,No,215-800-3965,"2175 E Rosecrans Ave, 90222",https://www.instagram.com/happyice,https://happyicela.com/,-118.2241241,33.9034228
Fish Bone Seafood,Yes,No,310-933-8868,"162 E. Compton Blvd, 90220",https://www.instagram.com/fishbone_compton,https://fishboneseafood.com/fishbone-seafood-compton/,-118.2224497,33.8957379
Billionaire Burger Boyz,No,No,310-554-4166,"811 S. Long Beach Blvd., Compton",         ---,https://www.billionaireburgerboyz.com,-118.2074657,33.8893305
Gogo's Bistro,No,No,323-980-0632,"2415 East Cesar E Chavez Avenue, 90033",         ---,         ---,-118.2071305,34.0466658
Sal's Gumbo,Yes,No,562-422-8100,"6148 Long Beach Blvd, 90805",https://www.instagram.com/salsgumboshack,http://www.salsgumboshack.com/,-118.2001877,33.8665874
Mabel's Gourmet Pralines,Yes,No,562-682-7156,"625 Pine Ave, 90802",https://www.instagram.com/mabelsgourmetpralines,https://www.yelp.com/biz/mabels-gourmet-pralines-long-beach,-118.192569,33.774744
O’Nells Comfort Kitchen,No,No,562-283-3434,"2295 Long Beach Blvd,, 90806",https://www.instagram.com/onellscomfortkitchen,         ---,-118.1899325,33.7986948
Derrick's On Atlantic,Yes,No,562-337-8131,"3502 Atlantic Avenue, 90807",https://www.instagram.com/derricksonatlantic,https://derricksonatlantic.com/,-118.1846044,33.8202533
Robert Earl’s BBQ,Yes,No,562-726-1116,"703 E Artesia Blvd, 90805",https://www.instagram.com/robertearlsbbq,http://robertearlsbbq.com/,-118.183679,33.8747839
Tanjee Bakes,No,No,310-756-8056,"NA, 90805",https://www.instagram.com/tanjeebakes,https://www.tanjeebakes.com/,-118.1766294,33.8640647
J. Looney's New Orleans Culture Food Restaurant,Yes,No,562-612-3355,"5204 Orange Ave, 90805",https://www.instagram.com/jlooneyscltrfd,https://www.yelp.com/biz/j-looneys-long-beach-2,-118.1765837,33.8502332
M'Dears,Yes,No,562-420-2400,"2450 Carson St, 90712",https://www.instagram.com/mdears2450,https://www.mdears.net/,-118.1629218,33.8321566
Parrains Soul Food,No,No,562-634-6050,"7908 Alondra Blvd., Paramount",         ---,https://www.facebook.com/parrainssoulfood,-118.1608612,33.8889542
Perry's Joint,Yes,No,626-798-4700,"2051 Lincoln Avenue, 91103",https://www.instagram.com/perrysjoint,https://perrysjoint.com/,-118.1600385,34.1809928
Little Red Hen Coffee Shop,Yes,No,626-791-1614,"2697 Fair Oaks Ave, 91001",https://www.instagram.com/thelittleredhencoffeeshop,https://little-red-hen-coffee-shop.hub.biz/,-118.148937,34.1918177
Pasadena Fish Market,No,No,626-792-9233,"181 E Orange Grove Blvd, 91103",https://www.instagram.com/,https://www.yelp.com/biz/pasadena-fish-market-pasadena,-118.1468972,34.1580013
Georgia's Restaurant,Yes,No,562-420-5637,"4101 McGowen St, 92630",https://www.instagram.com/georgiassoul,https://www.georgias-restaurant.com/,-118.1448215,33.8305127
Taco Mell,No,No,562-608-5689,"127 Lakewood Center Mall, 90712",https://www.instagram.com/tmclakewoodcenter,https://tacomell.net/,-118.1409772,33.851823
Doll Babee Cheesecakes,No,No,424-261-2041,"500 Lakewood Center Mall, 90712",https://www.instagram.com/dollbabeecheesecakes,http://dollbabeecheesecakes.com/,-118.1395344,33.8506094
Roscoe's Chicken and Waffles,Yes,No,626-791-4890,"830 North Lake Ave, 91104",https://www.instagram.com/roscoesofficial,https://www.roscoeschickenandwaffles.com/,-118.1322231,34.1602218
Bonnie B's Smokin BBQ Heaven,Yes,No,626-794-0132,"1280 North Lake Avenue,, 91104",https://www.instagram.com/bonniebssmokinbbq,https://www.bonniebssmokin.com/,-118.1319948,34.1679855
UEDF Fish & Chips,No,No,626-794-0277,"2191 N LAKE AVE, 91001",https://www.instagram.com/,https://www.facebook.com/UEDF-FISH-Chips-299048220120206/,-118.1314552,34.1870233
Hambone's Smokehouse,Yes,No,562-920-5200,"9825 Belmont St, 90706",https://www.instagram.com/hambones_smokehouse,http://hambonesbarandgrill.com/,-118.1242003,33.8837477
Bigmista's Barbecue and Sammich Shop,No,No,562-452-6565,"3444 North Los Coyotes Diagonal, 90808",https://www.instagram.com/realbigmista/,https://www.bigmista.com/,-118.1082432,33.8192953
Sweet Mission Cookie Co,No,No,215-315-7982,"Pierside Pavilion 300 Pacific Coast Hwy, 92648",         ---,         ---,-118.0007676,33.6573938
Hambone's Smokehouse,Yes,No,714-968-1261,"10056 Adams Ave, 92648",https://www.instagram.com/hambones_smokehouse,http://hambonesbarandgrill.com/,-117.9532174,33.6714078
Georgia's Restaurant,Yes,No,714-906-1900,"440 S Anaheim Blvd, 92805",https://www.instagram.com/georgiassoul,https://www.georgias-restaurant.com/,-117.9119488,33.8315039
GS Cafe and Ethiopian Cuisine,No,No,626-332-0585,"1068 North Citrus Avenue, 91722",https://www.instagram.com/,https://gs-cafe-and-ethiopian-cuisine.business.site/,-117.889993,34.0988428
BB's Cafe,No,No,626-888-4960,"502 N Citrus Ave, 91723",https://www.instagram.com/_bbscafe,https://www.yelp.com/biz/bbs-cafe-covina,-117.8899,34.0904015
Munchies Diner,Yes,Yes,657-699-3076,"313 N Bush St, 92701",https://www.instagram.com/munchiesdiner,https://www.munchiesvegandiner.com/,-117.870459,33.747551
